match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,5,7,AM Rahane,MS Dhoni,HV Patel,0,0,0,0,0,0,0,0,0,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,6,1,MS Dhoni,AM Rahane,SR Watson,0,0,0,0,0,0,0,0,0,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,6,2,MS Dhoni,AM Rahane,SR Watson,0,0,0,0,0,0,1,0,1,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,6,3,AM Rahane,MS Dhoni,SR Watson,0,0,0,0,0,0,1,0,1,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,6,4,MS Dhoni,AM Rahane,SR Watson,0,0,0,0,0,0,0,0,0,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,6,5,MS Dhoni,AM Rahane,SR Watson,0,0,0,0,0,0,1,0,1,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,6,6,AM Rahane,MS Dhoni,SR Watson,0,0,0,0,0,0,1,0,1,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,7,1,AM Rahane,MS Dhoni,T Shamsi,0,0,0,0,0,0,1,0,1,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,7,2,MS Dhoni,AM Rahane,T Shamsi,0,0,0,0,0,0,1,0,1,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,7,3,AM Rahane,MS Dhoni,T Shamsi,0,0,0,0,0,0,1,0,1,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,7,4,MS Dhoni,AM Rahane,T Shamsi,0,0,0,0,0,0,0,0,0,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,7,5,MS Dhoni,AM Rahane,T Shamsi,0,0,0,0,0,0,1,0,1,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,7,6,AM Rahane,MS Dhoni,T Shamsi,0,0,1,0,0,0,0,1,1,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,8,1,AM Rahane,MS Dhoni,STR Binny,0,0,0,0,0,0,1,0,1,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,8,2,MS Dhoni,AM Rahane,STR Binny,0,0,0,0,0,0,1,0,1,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,8,3,AM Rahane,MS Dhoni,STR Binny,0,0,0,0,0,0,4,0,4,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,8,4,AM Rahane,MS Dhoni,STR Binny,0,0,0,0,0,0,1,0,1,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,8,5,MS Dhoni,AM Rahane,STR Binny,0,0,0,0,0,0,1,0,1,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,8,6,AM Rahane,MS Dhoni,STR Binny,0,0,0,0,0,0,4,0,4,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,9,1,MS Dhoni,AM Rahane,T Shamsi,0,0,0,0,0,0,2,0,2,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,9,2,MS Dhoni,AM Rahane,T Shamsi,0,0,0,0,0,0,1,0,1,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,9,3,AM Rahane,MS Dhoni,T Shamsi,0,0,0,0,0,0,0,0,0,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,9,4,AM Rahane,MS Dhoni,T Shamsi,0,0,0,0,0,0,4,0,4,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,9,5,AM Rahane,MS Dhoni,T Shamsi,0,0,0,0,0,0,1,0,1,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,9,6,MS Dhoni,AM Rahane,T Shamsi,0,0,0,0,0,0,4,0,4,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,10,1,AM Rahane,MS Dhoni,Iqbal Abdulla,0,0,0,0,0,0,2,0,2,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,10,2,AM Rahane,MS Dhoni,Iqbal Abdulla,0,0,0,0,0,0,1,0,1,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,10,3,MS Dhoni,AM Rahane,Iqbal Abdulla,0,0,0,0,0,0,1,0,1,,,
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,10,4,AM Rahane,MS Dhoni,Iqbal Abdulla,0,0,0,0,0,0,1,0,1,,,
